"","mystery01","mystery02","mystery03"
"295",50,"50",-1
"296",50,"50",0
"297",50,"50",-1
"298",50,"50",-1
"299",50,"50",0
"300",50,"50",-2
"301",50,"50",0
"302",50,"50",NA
"303",50,"50",NA
"304",50,"50",-1
"305",50,"50",0
"306",50,"50",2
"307",50,"50",0
"308",50,"50",NA
"309",50,"50",0
"310",50,"50",1
"311",50,"50",-2
"312",50,"50",NA
"313",50,"50",NA
"314",50,"50",NA
"315",50,"50",1
"316",50,"50",1
"317",50,"50",0
"318",50,"50",0
"319",50,"50",0
"320",50,"50",0
"321",50,"50",NA
"322",50,"50",-1
"323",50,"50",-1
"324",50,"50",NA
"325",50,"50",0
"326",50,"50",NA
"327",50,"50",1
"328",50,"50",2
"329",50,"50",NA
"330",50,"50",-1
"331",50,"50",0
"332",50,"50",-1
"333",50,"50",0
"334",50,"50",1
"335",50,"50",0
"336",50,"50",1
"337",50,"50",1
"338",50,"50",-1
"339",50,"50",0
"340",50,"50",NA
"341",50,"50",0
"342",50,"50",NA
"343",50,"50",1
"344",50,"50",1
"345",50,"50",0
"346",50,"50",0
"347",50,"50",1
"348",50,"50",NA
"349",50,"50",0
"350",50,"50",0
"351",50,"50",0
"352",50,"50",NA
"353",50,"50",0
"354",50,"50",0
"355",50,"50",0
"356",50,"50",NA
"357",50,"50",0
"358",50,"50",1
"359",50,"50",1
"360",50,"50",1
"361",50,"50",0
"362",50,"50",1
"363",50,"50",NA
"364",50,"50",NA
"365",50,"50",0
"366",50,"50",-1
"367",50,"50",-2
"368",50,"50",0
"369",50,"50",NA
"370",50,"50",NA
"371",50,"50",0
"372",50,"50",1
"373",50,"50",1
"374",50,"50",-1
"375",50,"50",0
"376",50,"50",NA
"377",50,"50",3
"378",50,"50",1
"379",50,"50",-1
"380",50,"50",0
"381",50,"50",0
"382",50,"50",0
"383",50,"50",NA
"384",50,"50",NA
"385",50,"50",1
"386",50,"50",NA
"387",50,"50",-1
"388",50,"50",-1
"389",50,"50",1
"390",50,"50",NA
"391",50,"50",1
"392",50,"50",NA
"393",50,"50",-1
"394",50,"50",1
"395",50,"50",-1
"396",50,"50",NA
"397",50,"50",NA
"398",50,"50",-1
"399",50,"50",0
"400",50,"50",0
"401",50,"50",0
"402",50,"50",0
"403",50,"50",1
"404",50,"50",-1
"405",50,"50",-1
"406",50,"50",-2
"407",50,"50",1
"408",50,"50",NA
"409",50,"50",-1
"410",50,"50",0
"411",50,"50",1
"412",50,"50",-1
"413",50,"50",NA
"414",50,"50",0
"415",50,"50",1
"416",50,"50",2
"417",50,"50",-1
"418",50,"50",1
"419",50,"50",0
"420",50,"50",0
"421",50,"50",0
"422",50,"50",NA
"423",50,"50",1
"424",50,"50",NA
"425",50,"50",0
"426",50,"50",0
"427",50,"50",1
"428",50,"50",0
"429",50,"50",NA
"430",50,"50",1
"431",50,"50",NA
"432",50,"50",NA
"433",50,"50",-1
"434",50,"50",0
"435",50,"50",0
"436",50,"50",0
"437",50,"50",1
"438",50,"50",NA
"439",50,"50",2
"440",50,"50",NA
"441",50,"50",0
"442",50,"50",0
"443",50,"50",-1
"444",50,"50",0
"445",50,"50",NA
"446",50,"50",1
"447",50,"50",NA
"448",50,"50",1
"449",50,"50",0
"450",50,"50",0
"451",50,"50",-1
"452",50,"50",2
"453",50,"50",NA
"454",50,"50",1
"455",50,"50",-1
"456",50,"50",-1
"457",50,"50",-1
"458",50,"50",-2
"459",50,"50",NA
"460",50,"50",0
"461",50,"50",-1
"462",50,"50",1
"463",50,"50",2
"464",50,"50",-1
"465",50,"50",NA
"466",50,"50",0
"467",50,"50",0
"468",50,"50",-1
"469",50,"50",1
"470",50,"50",NA
"471",50,"50",1
"472",50,"50",NA
"473",50,"50",NA
"474",50,"50",0
"475",50,"50",1
"476",50,"50",2
"477",50,"50",-1
"478",50,"50",-1
"479",50,"50",1
"480",50,"50",1
"481",50,"50",-1
"482",50,"50",-1
"483",50,"50",-1
"484",50,"50",-1
"485",50,"50",0
"486",50,"50",2
"487",50,"50",NA
"488",50,"50",-1
"489",50,"50",0
"490",50,"50",0
"491",50,"50",NA
"492",50,"50",NA
"493",50,"50",NA
"494",50,"50",1
"495",50,"50",NA
"496",50,"50",0
"497",50,"50",1
"498",50,"50",0
"499",50,"50",0
"500",50,"50",NA
"501",50,"50",1
"502",50,"50",NA
"503",50,"50",-1
"504",50,"50",1
"505",50,"50",-1
"506",50,"50",0
"507",50,"50",-1
"508",50,"50",NA
"509",50,"50",NA
"510",50,"50",-1
"511",50,"50",NA
"512",50,"50",NA
"513",50,"50",NA
"514",50,"50",NA
"515",50,"50",NA
"516",50,"50",0
"517",50,"50",NA
"518",50,"50",0
"519",50,"50",1
"520",50,"50",0
"521",50,"50",-1
"522",50,"50",0
"523",50,"50",0
"524",50,"50",NA
"525",50,"50",0
"526",50,"50",NA
"527",50,"50",0
"528",50,"50",1
"529",50,"50",NA
"530",50,"50",-1
"531",50,"50",0
"532",50,"50",0
"533",50,"50",-1
"534",50,"50",NA
"535",50,"50",1
"536",50,"50",1
"537",50,"50",-1
"538",50,"50",2
"539",50,"50",NA
"540",50,"50",0
"541",50,"50",0
"542",50,"50",0
"543",50,"50",NA
"544",50,"50",1
"545",50,"50",1
"546",50,"50",NA
"547",50,"50",-2
"548",50,"50",-2
"549",50,"50",1
"550",50,"50",2
"551",50,"50",NA
"552",50,"50",NA
"553",50,"50",0
"554",50,"50",0
"555",50,"50",1
"556",50,"50",0
"557",50,"50",0
"558",50,"50",NA
"559",50,"50",NA
"560",50,"50",-1
"561",50,"50",-1
"562",50,"50",NA
"563",50,"50",-1
"564",50,"50",0
"565",50,"50",NA
"566",50,"50",-1
"567",50,"50",0
"568",50,"50",1
"569",50,"50",1
"570",50,"50",NA
"571",50,"50",-1
"572",50,"50",-1
"573",50,"50",1
"574",50,"50",NA
"575",50,"50",2
"576",50,"50",-1
"577",50,"50",NA
"578",50,"50",0
"579",50,"50",1
"580",50,"50",1
"581",50,"50",2
"582",50,"50",1
"583",50,"50",-2
"584",50,"50",NA
"585",50,"50",0
"586",50,"50",0
"587",50,"50",-2
"588",50,"50",0
"589",50,"50",0
"590",50,"50",0
"591",50,"50",0
"592",50,"50",2
"593",50,"50",1
"594",50,"50",-2
"595",50,"50",NA
"596",50,"50",0
"597",50,"50",0
"598",50,"50",1
"599",50,"50",0
"600",50,"50",NA
"601",50,"50",NA
"602",50,"50",-1
"603",50,"50",1
"604",50,"50",0
"605",50,"50",1
"606",50,"50",-1
"607",50,"50",0
"608",50,"50",0
"609",50,"50",-1
"610",50,"50",-1
"611",50,"50",NA
"612",50,"50",NA
"613",50,"50",0
"614",50,"50",0
"615",50,"50",-2
"616",50,"50",1
"617",50,"50",NA
"618",50,"50",NA
"619",50,"50",0
"620",50,"50",0
"621",50,"50",0
"622",50,"50",-1
"623",50,"50",-1
"624",50,"50",1
"625",50,"50",2
"626",50,"50",NA
"627",50,"50",2
"628",50,"50",1
"629",50,"50",0
"630",50,"50",1
"631",50,"50",NA
"632",50,"50",-1
"633",50,"50",0
"634",50,"50",NA
"635",50,"50",1
"636",50,"50",0
"637",50,"50",0
"638",50,"50",0
"639",50,"50",-1
"640",50,"50",0
"641",50,"50",NA
"642",50,"50",0
"643",50,"50",NA
"644",50,"50",NA
"645",50,"50",NA
"646",50,"50",0
"647",50,"50",NA
"648",50,"50",0
"649",50,"50",1
"650",50,"50",NA
"651",50,"50",0
"652",50,"50",NA
"653",50,"50",2
"654",50,"50",1
"655",50,"50",1
"656",50,"50",NA
"657",50,"50",1
"658",50,"50",2
"659",50,"50",NA
"660",50,"50",1
"661",50,"50",NA
"662",50,"50",-1
"663",50,"50",1
"664",50,"50",3
"665",50,"50",1
"666",50,"50",NA
"667",50,"50",-1
"668",50,"50",NA
"669",50,"50",0
"670",50,"50",NA
"671",50,"50",1
"672",50,"50",0
"673",50,"50",1
"674",50,"50",NA
"675",50,"50",NA
"676",50,"50",-1
"677",50,"50",NA
"678",50,"50",0
"679",50,"50",1
"680",50,"50",NA
"681",50,"50",-1
"682",50,"50",0
"683",50,"50",NA
"684",50,"50",1
"685",50,"50",1
"686",50,"50",1
"687",50,"50",-1
"688",50,"50",-1
"689",50,"50",-1
"690",50,"50",-2
"691",50,"50",NA
"692",50,"50",0
"693",50,"50",NA
"694",50,"50",NA
"695",50,"50",0
"696",50,"50",NA
"697",50,"50",NA
"698",50,"50",-1
"699",50,"50",-2
"700",50,"50",-1
"701",50,"50",NA
"702",50,"50",0
"703",50,"50",-1
"704",50,"50",0
"705",50,"50",0
"706",50,"50",1
"707",50,"50",-1
"708",50,"50",NA
"709",50,"50",NA
"710",50,"50",-2
"711",50,"50",NA
"712",50,"50",NA
"713",50,"50",-1
"714",50,"50",1
"715",50,"50",0
"716",50,"50",1
"717",50,"50",0
"718",50,"50",-1
"719",50,"50",-1
"720",50,"50",NA
"721",50,"50",1
"722",50,"50",0
"723",50,"50",-1
"724",50,"50",-1
"725",50,"50",-1
"726",50,"50",NA
"727",50,"50",1
"728",50,"50",0
"729",50,"50",NA
"730",50,"50",NA
"731",50,"50",-1
"732",50,"50",-2
"733",50,"50",0
"734",50,"50",2
"735",50,"50",NA
"736",50,"50",0
"737",50,"50",NA
"738",50,"50",-1
"739",50,"50",NA
"740",50,"50",NA
"741",50,"50",1
"742",50,"50",-3
"743",50,"50",1
"744",50,"50",NA
"745",50,"50",0
"746",50,"50",0
"747",50,"50",NA
"748",50,"50",0
"749",50,"50",0
"750",50,"50",-1
"751",50,"50",-1
"752",50,"50",1
"753",50,"50",NA
"754",50,"50",1
"755",50,"50",1
"756",50,"50",-1
"757",50,"50",0
"758",50,"50",1
"759",50,"50",-1
"760",50,"50",0
"761",50,"50",NA
"762",50,"50",NA
"763",50,"50",NA
"764",50,"50",NA
"765",50,"50",NA
"766",50,"50",NA
"767",50,"50",0
"768",50,"50",-1
"769",50,"50",0
"770",50,"50",NA
"771",50,"50",2
"772",50,"50",0
"773",50,"50",0
"774",50,"50",-1
"775",50,"50",1
"776",50,"50",NA
"777",50,"50",0
"778",50,"50",-1
"779",50,"50",NA
"780",50,"50",-1
"781",50,"50",0
"782",50,"50",1
"783",50,"50",NA
"784",50,"50",NA
"785",50,"50",0
"786",50,"50",NA
"787",50,"50",1
"788",50,"50",-1
"789",50,"50",NA
"790",50,"50",2
"791",50,"50",0
"792",50,"50",2
"793",50,"50",-1
"794",50,"50",1
"795",50,"50",NA
"796",50,"50",NA
"797",50,"50",NA
"798",50,"50",0
"799",50,"50",-2
"800",50,"50",NA
"801",50,"50",NA
"802",50,"50",1
"803",50,"50",0
"804",50,"50",NA
"805",50,"50",1
"806",50,"50",-1
"807",50,"50",-1
"808",50,"50",2
"809",50,"50",NA
"810",50,"50",0
"811",50,"50",NA
"812",50,"50",-1
"813",50,"50",-2
"814",50,"50",NA
"815",50,"50",0
"816",50,"50",0
"817",50,"50",NA
"818",50,"50",0
"819",50,"50",0
"820",50,"50",-1
"821",50,"50",NA
"822",50,"50",1
"823",50,"50",0
"824",50,"50",2
"825",50,"50",0
"826",50,"50",0
"827",50,"50",0
"828",50,"50",-2
"829",50,"50",2
"830",50,"50",-2
"831",50,"50",1
"832",50,"50",1
"833",50,"50",1
"834",50,"50",-1
"835",50,"50",1
"836",50,"50",NA
"837",50,"50",-2
"838",50,"50",-1
"839",50,"50",0
"840",50,"50",NA
"841",50,"50",NA
"842",50,"50",1
"843",50,"50",NA
"844",50,"50",NA
"845",50,"50",0
"846",50,"50",0
"847",50,"50",1
"848",50,"50",-2
"849",50,"50",2
"850",50,"50",NA
"851",50,"50",NA
"852",50,"50",0
"853",50,"50",1
"854",50,"50",-2
"855",50,"50",-1
"856",50,"50",0
"857",50,"50",-1
"858",50,"50",0
"859",50,"50",NA
"860",50,"50",NA
"861",50,"50",NA
"862",50,"50",NA
"863",50,"50",-1
"864",50,"50",1
"865",50,"50",0
"866",50,"50",2
"867",50,"50",-1
"868",50,"50",0
"869",50,"50",1
"870",50,"50",-2
"871",50,"50",1
"872",50,"50",1
"873",50,"50",NA
"874",50,"50",0
"875",50,"50",0
"876",50,"50",NA
"877",50,"50",NA
"878",50,"50",1
"879",50,"50",0
"880",50,"50",NA
"881",50,"50",0
"882",50,"50",0
"883",50,"50",2
"884",50,"50",-1
"885",50,"50",NA
"886",50,"50",NA
"887",50,"50",NA
"888",50,"50",1
"889",50,"50",0
"890",50,"50",0
"891",50,"50",-1
"892",50,"50",NA
"893",50,"50",0
"894",50,"50",NA
"895",50,"50",0
"896",50,"50",1
"897",50,"50",NA
"898",50,"50",NA
"899",50,"50",1
"900",50,"50",NA
"901",50,"50",1
"902",50,"50",-1
"903",50,"50",0
"904",50,"50",-2
"905",50,"50",0
"906",50,"50",NA
"907",50,"50",0
"908",50,"50",0
"909",50,"50",1
"910",50,"50",-2
"911",50,"50",NA
"912",50,"50",-2
"913",50,"50",0
"914",50,"50",0
"915",50,"50",0
"916",50,"50",0
"917",50,"50",0
"918",50,"50",NA
"919",50,"50",NA
"920",50,"50",1
"921",50,"50",NA
"922",50,"50",NA
"923",50,"50",NA
"924",50,"50",3
"925",50,"50",-1
"926",50,"50",NA
"927",50,"50",NA
"928",50,"50",-1
"929",50,"50",NA
"930",50,"50",0
"931",50,"50",NA
"932",50,"50",0
"933",50,"50",0
"934",50,"50",1
"935",50,"50",-1
"936",50,"50",0
"937",50,"50",NA
"938",50,"50",NA
"939",50,"50",NA
"940",50,"50",-1
"941",50,"50",0
"942",50,"50",1
"943",50,"50",0
"944",50,"50",0
"945",50,"50",0
"946",50,"50",0
"947",50,"50",NA
"948",50,"50",NA
"949",50,"50",NA
"950",50,"50",NA
"951",50,"50",0
"952",50,"50",NA
"953",50,"50",0
"954",50,"50",1
"955",50,"50",NA
"956",50,"50",-1
"957",50,"50",-2
"958",50,"50",NA
"959",50,"50",1
"960",50,"50",2
"961",50,"50",-1
"962",50,"50",NA
"963",50,"50",1
"964",50,"50",1
"965",50,"50",NA
"966",50,"50",-2
"967",50,"50",NA
"968",50,"50",0
"969",50,"50",0
"970",50,"50",0
"971",50,"50",NA
"972",50,"50",0
"973",50,"50",0
"974",50,"50",1
"975",50,"50",-2
"976",50,"50",NA
"977",50,"50",-2
"978",50,"50",-1
"979",50,"50",-1
"980",50,"50",-2
"981",50,"50",NA
"982",50,"50",2
"983",50,"50",-1
"984",50,"50",0
"985",50,"50",NA
"986",50,"50",-1
"987",50,"50",-2
"988",50,"50",-1
"989",50,"50",0
"990",50,"50",-1
"991",50,"50",NA
"992",50,"50",-1
"993",50,"50",0
"994",50,"50",NA
"995",50,"50",0
"996",50,"50",1
"997",50,"50",NA
"998",50,"50",NA
"999",50,"50",0
"1000",50,"50",0
